0 1 0
1 1.41891 0.0416514
2 1.74223 0.0585758
3 2.0169 0.0641508
4 2.2532 0.0698047
5 2.4672 0.0919689
6 2.65875 0.101095
7 2.84423 0.107305
8 3.01393 0.123488
9 3.18412 0.124675
10 3.33991 0.132778
11 3.4803 0.13732
12 3.61262 0.1449
13 3.74586 0.146728
14 3.88163 0.144862
15 4.0098 0.164897
16 4.13369 0.170873
17 4.24815 0.169513
18 4.36501 0.183747
19 4.47457 0.185361
20 4.5759 0.18847
21 4.68817 0.188468
22 4.79216 0.188217
23 4.89594 0.188569
24 4.99139 0.197315
25 5.09217 0.196391
26 5.18073 0.197926
27 5.27867 0.211074
28 5.37208 0.216202
29 5.46797 0.215101
30 5.56718 0.228542
31 5.66057 0.229626
32 5.7534 0.225634
33 5.8443 0.229644
34 5.93248 0.237367
35 6.01939 0.250149
36 6.1081 0.256204
37 6.17822 0.265256
38 6.26396 0.259724
39 6.34101 0.257644
40 6.42921 0.260895
41 6.49785 0.260829
42 6.57186 0.264218
43 6.64499 0.279746
44 6.70983 0.292519
45 6.77763 0.296931
46 6.85627 0.30536
47 6.92975 0.305309
48 7.00748 0.306061
49 7.07755 0.313565
50 7.16284 0.30354
51 7.23618 0.313815
52 7.3007 0.304746
53 7.35779 0.311772
54 7.41741 0.313971
55 7.48188 0.322681
56 7.54913 0.324984
57 7.61795 0.326458
58 7.68297 0.321116
59 7.75263 0.334572
60 7.80954 0.332023
61 7.87564 0.32628
62 7.93945 0.327294
63 8.0054 0.331715
64 8.06872 0.327781
65 8.12814 0.333859
66 8.19192 0.335291
67 8.25061 0.341601
68 8.30907 0.337855
69 8.37524 0.33379
70 8.43777 0.323911
71 8.49962 0.335479
72 8.54815 0.33644
73 8.60214 0.345694
74 8.65977 0.352775
75 8.72434 0.354091
76 8.78684 0.350856
77 8.8352 0.345848
78 8.89091 0.34151
79 8.94643 0.334309
80 9.00031 0.335407
81 9.06355 0.338023
82 9.12405 0.344388
83 9.18546 0.349831
84 9.24415 0.365172
85 9.28904 0.370378
86 9.33862 0.373101
87 9.38459 0.378986
88 9.42966 0.385408
89 9.49531 0.388552
90 9.54713 0.387122
91 9.58319 0.386816
92 9.63288 0.379867
93 9.69235 0.375331
94 9.74115 0.372756
95 9.79761 0.375306
96 9.84589 0.380511
97 9.89197 0.376703
98 9.94603 0.373127
99 9.9976 0.372897
