0.05                0.05             44.4943             3.40409
0.05                 0.1             82.8547             3.42068
0.05                0.15              98.871             3.14665
0.05                 0.2             96.1333             3.41368
0.05                0.25             98.3814             2.51425
0.05                 0.3               100.7             2.82081
0.05                0.35             100.553             2.62711
0.05                 0.4             98.7475             2.82627
0.05                0.45             96.4764             2.86747
0.05                 0.5             96.7156             2.78038
0.05                0.55             100.286             2.78287
0.05                 0.6             100.751             2.53835
0.05                0.65             101.608             2.76831
0.05                 0.7              109.01             2.60397
0.05                0.75             100.015             2.97113
0.05                 0.8             98.0642             2.63083
0.05                0.85             93.3803              2.8786
0.05                 0.9             98.6859             2.75052
0.05                0.95             98.1473             2.76938
0.05                   1             98.6983              3.2866
0.05                1.05             92.9372             2.62333
0.05                 1.1             103.055             2.94535
0.05                1.15             103.011              2.8398
0.05                 1.2             101.138             2.74359
0.05                1.25             93.0136             3.81771
0.05                 1.3             98.2876             3.98326
0.05                1.35             98.3157             4.70577
0.05                 1.4              91.683             3.83479
0.05                1.45             101.802             4.34925
0.05                 1.5             98.6773             4.03492
0.05                1.55             99.7432             4.58118
0.05                 1.6             100.387             3.65259
0.05                1.65             98.6625             4.18429
0.05                 1.7             101.334             3.99078
0.05                1.75             100.046             4.62665
0.05                 1.8             105.747              3.2537
0.05                1.85             103.389             4.42033
0.05                 1.9             101.471             4.62709
0.05                1.95             108.341             4.12803
0.05                   2             103.747              4.5603
0.05                2.05             102.911             4.36978
0.05                 2.1             112.654             3.55041
0.05                2.15             108.976             3.90696
0.05                 2.2             117.204             3.71767
0.05                2.25             119.552             3.48148
0.05                 2.3             118.469             3.78755
0.05                2.35             109.983             4.53149
0.05                 2.4             118.802             3.83973
0.05                2.45             117.879             3.71303
0.05                 2.5             115.584             4.56276
0.05                2.55              120.93             4.49694
0.05                 2.6              125.73             4.50501
0.05                2.65             128.958             4.88183
0.05                 2.7             133.019             4.73157
0.05                2.75             139.367             3.76136
0.05                 2.8             142.975             4.01888
0.05                2.85             144.562             4.47318
0.05                 2.9             148.601             4.04041
0.05                2.95             155.936             3.79389
0.05                   3             161.509             3.73341
0.1                   3             84.4021            0.654931
0.1                2.95             78.9164            0.870879
0.1                 2.9             75.1145            0.758471
0.1                2.85             70.3224            0.758292
0.1                 2.8             68.2757            0.633106
0.1                2.75             64.2608            0.684484
0.1                 2.7             60.5099            0.658269
0.1                2.65             57.2771            0.684915
0.1                 2.6             55.0396            0.650398
0.1                2.55             51.2964            0.740677
0.1                 2.5             47.7258                0.73
0.1                2.45              46.797            0.830407
0.1                 2.4             45.6715            0.779926
0.1                2.35             41.4676            0.693021
0.1                 2.3             40.3544            0.709037
0.1                2.25             38.7167            0.646982
0.1                 2.2             37.2676            0.746617
0.1                2.15             34.9465            0.763779
0.1                 2.1             34.3254            0.620418
0.1                2.05              33.056            0.618205
0.1                   2             30.6899            0.608484
0.1                1.95             30.6533            0.756161
0.1                 1.9             29.3381            0.635422
0.1                1.85             27.9212            0.699737
0.1                 1.8              27.402            0.804422
0.1                1.75              27.122             0.70377
0.1                 1.7             25.7784            0.722508
0.1                1.65             26.2826            0.617451
0.1                 1.6             24.3645            0.755107
0.1                1.55             25.3923            0.766497
0.1                 1.5               24.91            0.691298
0.1                1.45             25.5678            0.599476
0.1                 1.4             23.8724            0.658958
0.1                1.35             24.4686            0.667904
0.1                 1.3             24.4357            0.583156
0.1                1.25             21.5519            0.606987
0.1                 1.2             22.8158            0.563265
0.1                1.15             23.5353            0.559093
0.1                 1.1             23.6145            0.464246
0.1                1.05             23.4509            0.511244
0.1                   1             23.3044            0.460521
0.1                0.95             24.6104            0.463241
0.1                 0.9             23.0234            0.553989
0.1                0.85             23.5344            0.496398
0.1                 0.8             23.0163            0.526676
0.1                0.75             22.9424            0.620924
0.1                 0.7             25.0857            0.540593
0.1                0.65             23.8784            0.504688
0.1                 0.6             24.0977            0.504147
0.1                0.55             24.9581            0.376953
0.1                 0.5             25.0054            0.529243
0.1                0.45             24.3842            0.575866
0.1                 0.4             24.8725            0.506713
