1             9.09436
2             9.09436
3             9.03943
4             9.03943
5             9.03943
6             8.73102
7             8.73102
8               7.935
9             7.40516
10             6.24669
11             5.20183
12             4.56141
13             4.54515
14             4.49508
15             3.91403
16             3.84634
17             3.84634
18             2.84783
19             2.84783
20             2.85228
21             2.85228
22             2.85228
23             2.85228
24             1.94259
25             1.94259
26            0.869214
27            0.869214
28            0.869214
29            0.869214
30              1.6211
31            0.742229
32             1.25444
33             1.25444
34            0.709047
35            0.800607
36            0.756278
37           0.0716021
38           -0.854185
39            -1.43252
40            -0.46709
41            -1.09206
42            -0.49501
43            -1.21209
44            -0.79225
45            -1.03246
46            0.135041
47          -0.0164299
48             0.81341
49            0.995864
50            0.995864
51            0.467731
52            0.467731
53             1.38435
54             2.06097
55             2.06097
56             2.06097
57             1.48601
58             1.60073
59             1.60073
60             1.60073
61             1.22065
62            0.115252
63           -0.573232
64           -0.573232
65            -1.63747
66            -1.63747
67           -0.934127
68           -0.934127
69           -0.934127
70           0.0646287
71           -0.948361
72           -0.948361
73           -0.170089
74           -0.920252
75           -0.920252
76           -0.920252
77           -0.920252
78           -0.920252
79           -0.920252
80            -1.04935
81           -0.813169
82           -0.193226
83           -0.203284
84           -0.541684
85            0.163166
86             0.90488
87             0.90488
88             0.90488
89           -0.294963
90            -0.78369
91           -0.485393
92           -0.485393
93           -0.706113
94           -0.706113
95            0.216537
96             1.34318
97            0.939684
98            0.939684
99             1.22323
100             1.31612
